YearStart,YearEnd,LocationDesc,DataSource,Topic,Question,DataValueUnit_x,DataValueType,DataValue,DataValueAlt,LowConfidenceLimit,HighConfidenceLimit,QuestionID,DataValueTypeID,RaceEthnicity
2014,2014,Virginia,BRFSS,Alcohol,Heavy drinking among women aged 18-44 years,,Crude Prevalence,0.0,0.0,,,ALC5_2,CRDPREV,"Other, non-Hispanic"
2020,2020,Wyoming,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.02,0.02,,,ALC8_0_1,USD,nan
2015,2015,Missouri,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.06,0.06,,,ALC8_0_1,USD,nan
2012,2012,Oregon,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.08,0.08,,,ALC8_0_1,USD,nan
2012,2012,Maryland,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.09,0.09,,,ALC8_0_1,USD,nan
2012,2012,Rhode Island,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.1,0.1,,,ALC8_0_1,USD,nan
2017,2017,Rhode Island,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.11,0.11,,,ALC8_0_1,USD,nan
2021,2021,Indiana,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.12,0.12,,,ALC8_0_1,USD,nan
2015,2015,New York,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.14,0.14,,,ALC8_0_1,USD,nan
2015,2015,Idaho,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.15,0.15,,,ALC8_0_1,USD,nan
2015,2015,Nevada,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.16,0.16,,,ALC8_0_1,USD,nan
2020,2020,Ohio,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.18,0.18,,,ALC8_0_1,USD,nan
2017,2017,Iowa,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.19,0.19,,,ALC8_0_1,USD,nan
2021,2021,Michigan,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.2,0.2,,,ALC8_0_1,USD,nan
2017,2017,Illinois,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.23,0.23,,,ALC8_0_1,USD,nan
2017,2017,Connecticut,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.24,0.24,,,ALC8_0_1,USD,nan
2020,2020,Wisconsin,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,US Dollars,0.25,0.25,,,ALC8_0_2,USD,nan
2020,2020,Delaware,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.26,0.26,,,ALC8_0_1,USD,nan
2020,2020,South Dakota,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.27,0.27,,,ALC8_0_1,USD,nan
2020,2020,Virginia,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.28,0.28,,,ALC8_0_1,USD,nan
2017,2017,Minnesota,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,US Dollars,0.3,0.3,,,ALC8_0_2,USD,nan
2017,2017,Nebraska,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.31,0.31,,,ALC8_0_1,USD,nan
2017,2017,Ohio,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,US Dollars,0.32,0.32,,,ALC8_0_2,USD,nan
2020,2020,Maine,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.35,0.35,,,ALC8_0_1,USD,nan
2019,2019,Oklahoma,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.4,0.4,,,ALC8_0_1,USD,nan
2017,2017,New Mexico,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.41,0.41,,,ALC8_0_1,USD,nan
2019,2019,Georgia,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,US Dollars,0.42,0.42,,,ALC8_0_2,USD,nan
2017,2017,Mississippi,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.43,0.43,,,ALC8_0_1,USD,nan
2012,2012,Indiana,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,US Dollars,0.47,0.47,,,ALC8_0_2,USD,nan
2019,2019,Florida,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.48,0.48,,,ALC8_0_1,USD,nan
2021,2021,North Dakota,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,US Dollars,0.5,0.5,,,ALC8_0_2,USD,nan
