YearStart,YearEnd,LocationDesc,DataSource,Topic,Question,DataValueUnit_x,DataValueType,DataValue,DataValueAlt,LowConfidenceLimit,HighConfidenceLimit,QuestionID,DataValueTypeID,RaceEthnicity
2017,2017,Georgia,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,1.2,1.2,0.7,1.8,MTH1_0,AGEADJMEAN,"Other, non-Hispanic"
2014,2014,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,1.3,1.3,0.7,2.0,MTH1_0,AGEADJMEAN,"White, non-Hispanic"
2016,2016,Illinois,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,1.4,1.4,0.7,2.2,MTH1_0,AGEADJMEAN,"Other, non-Hispanic"
2017,2017,Georgia,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,1.5,1.5,0.8,2.1,MTH1_0,MEAN,"Other, non-Hispanic"
2018,2018,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,1.6,1.6,0.9,2.4,MTH1_0,MEAN,"White, non-Hispanic"
2015,2015,Virginia,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,1.7,1.7,1.1,2.4,MTH1_0,AGEADJMEAN,"Other, non-Hispanic"
2013,2013,New Jersey,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,1.8,1.8,1.2,2.3,MTH1_0,MEAN,"Other, non-Hispanic"
2013,2013,Georgia,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,1.9,1.9,1.1,2.6,MTH1_0,MEAN,"Other, non-Hispanic"
2013,2013,Connecticut,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.0,2.0,1.3,2.8,MTH1_0,AGEADJMEAN,"Other, non-Hispanic"
2016,2016,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.1,2.1,1.1,3.2,MTH1_0,AGEADJMEAN,"White, non-Hispanic"
2014,2014,Minnesota,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.2,2.2,1.7,2.8,MTH1_0,AGEADJMEAN,"Other, non-Hispanic"
2013,2013,Alaska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.3,2.3,1.9,2.7,MTH1_0,AGEADJMEAN,nan
2016,2016,Nebraska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.4,2.4,2.1,2.6,MTH1_0,AGEADJMEAN,nan
2015,2015,South Dakota,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.5,2.5,2.3,2.8,MTH1_0,AGEADJMEAN,nan
2020,2020,South Dakota,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.6,2.6,2.0,3.2,MTH1_0,AGEADJMEAN,"Other, non-Hispanic"
2014,2014,Alaska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.7,2.7,2.0,3.5,MTH1_0,MEAN,"Other, non-Hispanic"
2011,2011,New York,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.8,2.8,1.9,3.6,MTH1_0,MEAN,"Other, non-Hispanic"
2013,2013,Hawaii,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.9,2.9,2.7,3.2,MTH1_0,AGEADJMEAN,nan
2019,2019,Virginia,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.0,3.0,2.4,3.6,MTH1_0,AGEADJMEAN,Hispanic
2018,2018,Delaware,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.1,3.1,2.7,3.5,MTH1_0,MEAN,nan
2017,2017,Illinois,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.2,3.2,2.2,4.2,MTH1_0,AGEADJMEAN,"Other, non-Hispanic"
2020,2020,Maryland,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.3,3.3,3.0,3.6,MTH1_0,MEAN,nan
2019,2019,Colorado,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.4,3.4,3.0,3.9,MTH1_0,MEAN,Hispanic
